"Scale","Title","Brand","Number","Topic","Type","Price","Bought on","Bought at","Location","Room","Shelf","Box","Link"
"1:144","eEXM GIG-R01 Provedel [type-Rex 01]","Bandai Spirits","5065422","30 Minutes Missions","Static model kits","USD 0","2024-12-25","gift","","","","","https://www.scalemates.com/kits/--1497472"
"1:144","EXM-H15A Acerby (Type-A)","Bandai Spirits","5065693","30 Minutes Missions","Static model kits","USD 37.99","2026-03-27","Amazon","","","","","https://www.scalemates.com/kits/--1508532"
"1:144","Customize Scene Base 04 [Landscape Ver.]","Bandai Spirits","5060256","30 Minutes Missions","Detail and Conversion sets","","","","","","","","https://www.scalemates.com/kits/--1293056"
"1:144","Customize Scene Base 05 [Water Field Ver.]","Bandai Spirits","5060925","30 Minutes Missions","Detail and Conversion sets","USD 8.89","2024-02-23","Newtype.us","","","","","https://www.scalemates.com/kits/--1318821"
"1:48","MAILeS Kenbu Zan","Bandai Spirits","5063395","Amaim Warrior at the Borderline","Static model kits","USD 0","2025-11-28","Gift","","","","","https://www.scalemates.com/kits/--1432284"
"1:144","AMS-129 Geara Zulu (Angelo Sauper Use)","Bandai Spirits","5063850","AMS-129 Geara Zulu","Static model kits","USD 18.9","2023-11-24","Newtype.us","","","","","https://www.scalemates.com/kits/--1427854"
"1:100","ASW-G-08 Gundam Barbatos","Bandai Spirits","5058222","ASW-G-08 gundam Barbatos","Static model kits","USD 48.95","2024-05-09","Newtype.us","","","","","https://www.scalemates.com/kits/--1235867"
"1:144","Gundam Barbatos","Bandai Spirits","5057977","ASW-G-08 gundam Barbatos","Static model kits","USD 16.99","0000-00-00","","","","","","https://www.scalemates.com/kits/--1302502"
"1:144","Gundam Barbatos 6th Form","Bandai Spirits","5060386","ASW-G-08 gundam Barbatos","Static model kits","USD 16.99","2024-11-29","USA Gundam Store","","","","","https://www.scalemates.com/kits/--1302193"
"1:144","Gundam Barbatos Lupus","Bandai Spirits","5055446","ASW-G-08 gundam Barbatos Lupus","Static model kits","USD 19.61","0000-00-00","","","","","","https://www.scalemates.com/kits/--1180956"
"1:144","Gundam Gusion","Bandai Spirits","5060384","ASW-G-11 gundam Gusion","Static model kits","USD 14.99","2024-11-29","USA Gundam Store","","","","","https://www.scalemates.com/kits/--1302209"
"1:144","Gundam Gusion Rebake","Bandai Spirits","5057980","ASW-G-11 gundam Gusion","Static model kits","USD 16","2024-11-23","Flipside Gaming","","","","","https://www.scalemates.com/kits/--1302683"
"1:144","Gundam Kimaris Trooper","Bandai Spirits","5057947","ASW-G-66 gundam Kimaris","Static model kits","USD 16.99","2024-11-25","USA Gundam Store","","","","","https://www.scalemates.com/kits/--1302192"
"1:144","Gundam Vidar","Bandai Spirits","5055448","ASW-G-66 gundam Kimaris","Static model kits","USD 18","2024-11-01","Flipside Gaming","","","","","https://www.scalemates.com/kits/--1180954"
"1:144","SYSTEM BASE 001","Bandai","0171628-900","Builders Parts","Detail and Conversion sets","","","","","","","","https://www.scalemates.com/kits/--1110910"
"1:144","Millennium Falcon","Bandai","0202288","CEC YT-1300 Light Freighter","Static model kits","USD 0","0000-00-00","gift","","","","","https://www.scalemates.com/kits/--966472"
"1:144","Beguir-Beu","Bandai Spirits","5062166","CEK-040 Beguir-Beu","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1413352"
