"Scale","Title","Brand","Number","Topic","Type","Price","Bought on","Bought at","Location","Room","Shelf","Box","Link"
"1:144","Customize Scene Base 04 [Landscape Ver.]","Bandai Spirits","5060256","30 Minutes Missions","Detail and Conversion sets","USD 12","2026-04-22","Amazon","","","","","https://www.scalemates.com/kits/--1293056"
"1:144","Customize Scene Base 04 [Landscape Ver.]","Bandai Spirits","5060256","30 Minutes Missions","Detail and Conversion sets","","","","","","","","https://www.scalemates.com/kits/--1293056"
"1:144","Customize Scene Base 06 [City Area Ver.]","Bandai Spirits","5061330","30 Minutes Missions","Detail and Conversion sets","","","","","","","","https://www.scalemates.com/kits/--1341132"
"1:144","Customize Scene Base 06 [City Area Ver.]","Bandai Spirits","5061330","30 Minutes Missions","Detail and Conversion sets","","","","","","","","https://www.scalemates.com/kits/--1341132"
"1:144","Customize Scene Base 06 [City Area Ver.]","Bandai Spirits","5061330","30 Minutes Missions","Detail and Conversion sets","","","","","","","","https://www.scalemates.com/kits/--1341132"
"1:144","AMS-123X Varguil","Bandai Spirits","5059556","AMS-123X-X Moon gundam","Static model kits","USD 27","2024-02-23","P-Bandai","","","","","https://www.scalemates.com/kits/--1356036"
"1:144","AMS-123X-X Moon Gundam","Bandai Spirits","5055332","AMS-123X-X Moon gundam","Static model kits","USD 48.95","0000-00-00","","","","","","https://www.scalemates.com/kits/--1165889"
"No","ASW-G-08 Gundam Barbatos","Bandai Spirits","5065699","ASW-G-08 gundam Barbatos","Static model kits","USD 55","2025-11-21","Flipside Gaming","","","","","https://www.scalemates.com/kits/--1508538"
"1:144","Gundam Barbatos & Long Distance Transport Booster Kutan Type-III","Bandai","0201891","ASW-G-08 gundam Barbatos","Static model kits","USD 51.85","2025-11-22","Newtype","","","","","https://www.scalemates.com/kits/--1019455"
"1:100","ASW-G-08 Gundam Barbatos Lupus","Bandai Spirits","5069181","ASW-G-08 gundam Barbatos Lupus","Static model kits","USD 84","2025-11-20","P-Bandai","","","","","https://www.scalemates.com/kits/--1621097"
