"Scale","Title","Brand","Number","Topic","Type","Price","Bought on","Bought at","Location","Room","Shelf","Box","Link"
"1:144","eEXM-21 Rabiot [Orange]","Bandai Spirits","5060265","30 Minutes Missions","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1282072"
"1:48","Juggernaut (general purpose type)","Bandai Spirits","5060743","86-Eighty-Six","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1325137"
"1:48","Juggernaut (Long Range Cannon Type)","Bandai Spirits","5060932","86-Eighty-Six","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1325139"
"1:48","Juggernaut (Shin Use)","Bandai Spirits","5061837","86-Eighty-Six","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1508503"
"1:48","Reginleif (Kurena/Anju Use)","Bandai Spirits","5061979","86-Eighty-Six","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1375430"
"1:48","Reginleif (Raiden/Theo Use)","Bandai Spirits","5061927","86-Eighty-Six","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1375433"
"1:48","Reginleif (Shin Use)","Bandai Spirits","5061926","86-Eighty-Six","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1508505"
"1:72","Destroid Defender","Bandai Spirits","5061229","ADR-04 Destroid Defender","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1306675"
"1:144","Narcissus","Aoshima","","Alien (Movie)","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1201705"
"1:960","Nostromo","Halcyon","HT03","Alien (Movie)","Static model kits","","","","","","","","https://www.scalemates.com/kits/--131764"
"1:35","Armoured Personnel Carrier","Halcyon","HAL01","Aliens (Movie)","Static model kits","","","","","","","","https://www.scalemates.com/kits/--174492"
"1:72","Drop-Ship","Halcyon","HAL02","Aliens (Movie)","Static model kits","","","","","","","","https://www.scalemates.com/kits/--137485"
"1:12","Power Loader","Good Smile Company","158597","Aliens (Movie)","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1398431"
"1:2400","Sulaco","Aoshima","072875","Aliens (Movie)","Static model kits","","","","","","","","https://www.scalemates.com/kits/--268657"
"1:144","AMX-004 Qubeley","Bandai Spirits","5058006","AMX-004 Qubeley","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1306813"
"No","Arcee","Flame Toys","28","Arcee","Static model kits","","","","","","","","https://www.scalemates.com/kits/--1431689"
